age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,mental_fatigue_score,screen_time_group,sleep_group,caffeine_group,age_group
53,Female,Doctor,9.21,46,6.74,4.84,10,3,65,10,High,Medium,High,50+
43,Male,Researcher,6.05,119,7.48,4.65,10,1,1,10,High,Medium,Low,30-50
46,Male,Manager,3.95,31,4.68,8.62,4.26,0,18,5.16,Medium,Low,None,30-50
38,Female,Freelancer,6.76,11,8.7,6.38,8.14,2,10,5.89,High,High,Low,30-50
28,Female,Teacher,3.75,18,6.92,6.76,7.34,3,87,8.29,Medium,Medium,High,Under 30
57,Female,Designer,4.71,46,7.88,6.72,6.53,2,113,6.23,Medium,Medium,Low,50+
28,Male,Teacher,5.01,37,8.99,6.39,6.59,3,15,6.19,Medium,High,High,Under 30
53,Female,Software Engineer,3.72,9,8.3,9.45,3.46,0,31,5.3,Medium,High,None,50+
56,Male,Manager,4.08,9,6.52,8.18,1.31,0,57,1.08,Medium,Medium,None,50+
57,Other,Teacher,1.07,98,8.34,7.84,3.42,2,88,2.95,Low,High,Low,50+
52,Female,Freelancer,3.67,40,7.29,9.46,2.53,3,52,2.12,Medium,Medium,High,50+
51,Female,Software Engineer,5.25,54,7.65,6.78,5.24,0,50,4.15,Medium,Medium,None,50+
41,Male,Software Engineer,2.56,100,7.19,6.63,5.09,4,103,5.15,Low,Medium,High,30-50
39,Male,Manager,8.25,95,5.44,3.97,10,0,57,10,High,Low,None,30-50
22,Male,Software Engineer,5.84,119,5.67,5.63,10,3,70,8.07,Medium,Low,High,Under 30
50,Male,Manager,8.14,117,6.79,3.23,10,4,17,10,High,Medium,High,30-50
53,Male,Teacher,2.15,70,8.37,10,1.6,0,7,1.57,Low,High,None,50+
37,Female,Freelancer,8.38,114,6.26,4.21,10,3,43,8.95,High,Medium,High,30-50
36,Male,Designer,9.62,73,6.7,4.14,10,2,114,10,High,Medium,Low,30-50
52,Female,Student,4.17,42,5.85,5.4,7.54,2,31,7.61,Medium,Low,Low,50+
34,Male,Researcher,3.56,37,4.09,5.33,7.27,0,3,6.88,Medium,Low,None,30-50
51,Male,Student,6.82,26,7.22,5.53,7.74,3,84,8.14,High,Medium,High,50+
26,Female,Teacher,6.72,31,6.83,5.59,9.73,3,76,9.83,High,Medium,High,Under 30
43,Female,Designer,2.01,114,8.89,6.38,5.97,3,96,6.48,Low,High,High,30-50
19,Male,Student,9.34,70,6.54,4,10,3,87,10,High,Medium,High,Under 30
26,Male,Freelancer,5.31,47,6.67,4.59,8.71,2,49,7.07,Medium,Medium,Low,Under 30
26,Female,Software Engineer,7.88,25,5.41,6.26,8.33,4,5,6.74,High,Low,High,Under 30
57,Male,Teacher,4.23,85,4.5,6.42,4.53,2,84,4.1,Medium,Low,Low,50+
34,Male,Teacher,3.35,57,7.54,7.83,4.86,2,30,4.27,Medium,Medium,Low,30-50
18,Female,Doctor,2,75,8.04,8.02,3.11,0,43,3.27,Low,High,None,Under 30
42,Male,Doctor,3.47,23,8.35,7.1,5.78,2,107,4.91,Medium,High,Low,30-50
57,Male,Doctor,9.94,119,6.02,3.42,10,2,57,9.52,High,Medium,Low,50+
59,Female,Manager,6.92,53,7.52,7.01,6.55,1,72,7.13,High,Medium,Low,50+
42,Female,Designer,8.23,113,5.31,3.27,10,0,33,8.65,High,Low,None,30-50
56,Male,Researcher,9.63,45,5.26,5.44,10,4,64,10,High,Low,High,50+
52,Female,Teacher,1.71,57,8.98,9.49,1,0,18,1,Low,High,None,50+
20,Male,Doctor,2.48,92,8.25,7.35,5.71,0,1,5.35,Low,High,None,Under 30
54,Female,Teacher,9.35,31,5.28,4.66,10,1,83,9.82,High,Low,Low,50+
47,Female,Software Engineer,6.08,15,6.17,6.44,6.72,1,54,5.9,High,Medium,Low,30-50
55,Male,Doctor,6.71,89,6.82,5.27,8.44,2,68,9.27,High,Medium,Low,50+
51,Male,Teacher,4.85,69,4.06,8.76,3.94,3,35,5.79,Medium,Low,High,50+
29,Male,Designer,8.33,64,8.8,4.13,10,3,80,6.94,High,High,High,Under 30
36,Female,Manager,5.66,12,4.54,7.51,5.44,2,60,6.45,Medium,Low,Low,30-50
54,Female,Freelancer,8.44,101,8.09,4.46,10,4,11,10,High,High,High,50+
34,Male,Designer,9.93,5,8.88,6,10,4,85,10,High,High,High,30-50
27,Male,Designer,6.82,101,7.52,4.87,10,1,108,9.97,High,Medium,Low,Under 30
29,Male,Freelancer,5.76,11,8.83,7.28,4.98,2,103,4.48,Medium,High,Low,Under 30
33,Male,Doctor,4.29,8,4.1,6.94,6.8,0,88,6.86,Medium,Low,None,30-50
41,Male,Designer,2.75,83,5.77,6.67,6.17,0,100,7.23,Low,Low,None,30-50
36,Female,Manager,6.91,58,6.38,5.51,10,0,59,9.29,High,Medium,None,30-50
25,Female,Student,1.56,102,7.91,5.88,6.79,4,29,6.04,Low,Medium,High,Under 30
48,Other,Researcher,9.61,90,7.27,3.32,10,1,72,10,High,Medium,Low,30-50
38,Female,Manager,6.83,66,7.68,5.94,8.54,3,48,9.1,High,Medium,High,30-50
34,Female,Software Engineer,9.63,23,4.72,6,10,0,82,10,High,Low,None,30-50
40,Female,Manager,3.45,14,8.22,7.51,3.39,2,46,4.57,Medium,High,Low,30-50
54,Female,Teacher,9.52,97,8.11,3.55,10,4,57,9.45,High,High,High,50+
33,Male,Student,6.51,62,7.84,5.74,9.06,1,6,9.79,High,Medium,Low,30-50
23,Male,Doctor,8.29,49,8.09,4.49,10,2,21,10,High,High,Low,Under 30
25,Male,Teacher,2.61,95,5.07,6.74,5.45,0,84,5.8,Low,Low,None,Under 30
42,Female,Freelancer,5.5,20,4.7,7.68,5.22,2,91,4.32,Medium,Low,Low,30-50
35,Female,Manager,6.12,0,8.48,9.15,5.27,4,89,4.1,High,High,High,30-50
42,Male,Teacher,4.54,96,8.79,6.4,5.66,1,102,5.09,Medium,High,Low,30-50
29,Female,Designer,3.28,10,6.12,9.25,3.38,1,99,4.01,Medium,Medium,Low,Under 30
32,Female,Teacher,9.14,66,6.23,2.98,10,2,25,10,High,Medium,Low,30-50
43,Male,Teacher,1.77,21,7.7,9.12,2.56,2,89,2.54,Low,Medium,Low,30-50
58,Male,Manager,2.39,73,6.47,9.12,1.97,0,102,2.17,Low,Medium,None,50+
43,Male,Software Engineer,3.88,107,5.57,7.37,5.43,2,34,6.32,Medium,Low,Low,30-50
49,Male,Freelancer,9.28,101,4.95,3.48,10,3,17,9.49,High,Low,High,30-50
27,Female,Manager,6.08,87,4.11,6.5,6.07,1,81,3.87,High,Low,Low,Under 30
33,Female,Doctor,4.36,6,6.94,8.04,3.73,1,63,5.9,Medium,Medium,Low,30-50
24,Female,Researcher,4.62,112,4.71,4.45,7.51,3,80,8.55,Medium,Low,High,Under 30
34,Female,Researcher,8.54,48,8.29,4.12,10,1,25,10,High,High,Low,30-50
40,Female,Freelancer,1.24,99,8.91,8.44,2.52,0,97,4.15,Low,High,None,30-50
43,Female,Student,1.1,0,6.29,9.23,1,3,50,1.77,Low,Medium,High,30-50
38,Female,Designer,1.41,64,4.58,6.73,3.24,4,45,2.74,Low,Low,High,30-50
39,Female,Software Engineer,5.22,62,6.92,6.58,6.02,2,100,7.75,Medium,Medium,Low,30-50
24,Female,Student,6.23,63,6.87,5.23,10,3,117,8.45,High,Medium,High,Under 30
31,Male,Student,6.62,25,4.67,3.58,10,0,98,8.98,High,Low,None,30-50
32,Female,Freelancer,7.58,16,7.23,5.83,9.1,3,8,9.35,High,Medium,High,30-50
24,Male,Software Engineer,2.71,10,5.58,6.71,6.2,1,49,7,Low,Low,Low,Under 30
26,Female,Designer,3.36,66,8.23,7.14,6.88,1,15,6.69,Medium,High,Low,Under 30
25,Male,Doctor,3.19,9,6.94,8.14,2.66,1,51,2.8,Medium,Medium,Low,Under 30
40,Male,Software Engineer,2.34,65,6.16,10,1.91,1,84,1.61,Low,Medium,Low,30-50
46,Other,Software Engineer,3.2,31,8.82,8.47,3.34,0,80,2.87,Medium,High,None,30-50
35,Male,Software Engineer,6.52,15,6.46,6.8,6.82,2,63,6.82,High,Medium,Low,30-50
48,Male,Researcher,4.3,111,8.44,7.28,6.14,1,77,3.73,Medium,High,Low,30-50
47,Male,Designer,7.91,25,5.32,5.21,10,0,60,9.59,High,Low,None,30-50
56,Female,Researcher,5.83,103,6.21,4.95,8.46,0,0,7.27,Medium,Medium,None,50+
52,Female,Software Engineer,2.91,102,4.42,6.11,6.24,0,51,6.78,Low,Low,None,50+
35,Female,Software Engineer,5.21,73,6.11,7.33,5.95,4,100,7.13,Medium,Medium,High,30-50
59,Female,Teacher,6.34,55,8.47,6.1,8.86,4,40,7.15,High,High,High,50+
56,Male,Teacher,8.8,99,8.15,3.29,10,3,42,9.19,High,High,High,50+
34,Male,Teacher,8.5,93,8.88,4.99,10,0,84,10,High,High,None,30-50
31,Male,Teacher,4.84,8,7.75,6.25,8.98,4,110,8.69,Medium,Medium,High,30-50
48,Female,Software Engineer,6.83,4,5.36,5.67,7.65,4,67,9.43,High,Low,High,30-50
41,Female,Researcher,3.68,6,4.8,7.76,5.92,3,98,8.81,Medium,Low,High,30-50
52,Male,Freelancer,6.7,99,4.9,5.1,8.81,1,81,9.95,High,Low,Low,50+
51,Male,Researcher,9.22,64,7.31,4.65,10,2,9,9.45,High,Medium,Low,50+
20,Male,Teacher,6.62,90,5.91,4.97,10,2,28,9.18,High,Low,Low,Under 30
54,Female,Student,3.73,11,6.07,8.19,3.89,0,104,3.58,Medium,Medium,None,50+
57,Male,Freelancer,6.8,79,8.3,6.05,5.62,3,113,7.03,High,High,High,50+
43,Male,Doctor,9.12,47,7.63,6.2,8.05,4,1,7.31,High,Medium,High,30-50
40,Male,Teacher,2.23,71,5.05,7.74,4.16,0,71,3.9,Low,Low,None,30-50
56,Female,Designer,5.34,24,4.86,8.61,4.56,1,58,4.76,Medium,Low,Low,50+
32,Female,Doctor,3.89,12,8.11,7.98,4.34,2,97,3.03,Medium,High,Low,30-50
21,Male,Researcher,3.17,40,8.77,7.48,4.53,0,74,4.96,Medium,High,None,Under 30
46,Female,Researcher,4.57,9,4.93,7.06,4.85,4,107,4.83,Medium,Low,High,30-50
39,Female,Manager,4.55,39,8.76,5.79,8.48,1,73,7.95,Medium,High,Low,30-50
42,Other,Researcher,2.89,32,6.15,7.56,5.59,3,32,5,Low,Medium,High,30-50
30,Male,Manager,4.63,34,8.53,7.86,7.43,2,48,6.56,Medium,High,Low,30-50
35,Female,Student,6.7,36,7.75,5.28,8.38,2,109,9.98,High,Medium,Low,30-50
50,Female,Doctor,1.23,102,8.53,6.91,3.49,2,3,3.2,Low,High,Low,30-50
33,Male,Doctor,9.9,91,7.23,3.03,10,4,115,9.87,High,Medium,High,30-50
59,Female,Researcher,3.66,15,4.79,8.53,3.74,0,88,4.66,Medium,Low,None,50+
19,Male,Student,6.61,71,4.3,4.87,10,4,51,10,High,Low,High,Under 30
52,Male,Manager,3.55,32,7.14,5.73,5.84,2,54,5.81,Medium,Medium,Low,50+
59,Male,Teacher,4.54,52,4.29,5.11,7.58,0,85,7.96,Medium,Low,None,50+
51,Male,Student,5.94,34,5.18,5.58,9.17,4,68,7.98,Medium,Low,High,50+
47,Male,Designer,6.51,54,5.03,5.9,7.43,2,103,7.94,High,Low,Low,30-50
30,Male,Student,7.93,101,6.14,4.09,10,2,47,9.24,High,Medium,Low,30-50
30,Female,Software Engineer,8.13,75,6.99,4.56,10,3,110,10,High,Medium,High,30-50
35,Female,Manager,5.67,78,8.56,7.22,8.37,4,44,8.56,Medium,High,High,30-50
49,Male,Software Engineer,1.68,16,8.68,10,3.68,3,27,3.87,Low,High,High,30-50
49,Female,Manager,6.02,26,8.91,5.48,9.08,0,60,9.34,High,High,None,30-50
52,Female,Manager,5.3,113,7.82,4.18,9.92,3,45,9.16,Medium,Medium,High,50+
56,Male,Doctor,2.94,20,8.61,9.24,2.99,2,75,3.08,Low,High,Low,50+
46,Male,Teacher,1.09,20,7.95,9.19,1.65,1,45,2.9,Low,Medium,Low,30-50
46,Female,Teacher,3.84,16,8.55,7.84,5.6,0,67,4.67,Medium,High,None,30-50
33,Female,Manager,3.34,26,4.52,6.9,5.5,4,39,6.21,Medium,Low,High,30-50
27,Male,Manager,5.35,75,8.81,4.76,10,3,82,10,Medium,High,High,Under 30
47,Male,Researcher,7.85,47,5.17,2.83,10,4,88,10,High,Low,High,30-50
42,Female,Software Engineer,4.95,43,6.84,6.9,6.97,1,17,7.31,Medium,Medium,Low,30-50
56,Other,Researcher,9.56,35,6.58,5.51,10,0,108,9.82,High,Medium,None,50+
37,Male,Researcher,2.99,27,6.82,8.6,4.71,2,110,6.43,Low,Medium,Low,30-50
22,Other,Designer,2.99,24,7.51,8.36,2.78,3,95,2.17,Low,Medium,High,Under 30
18,Male,Student,6.44,72,6.7,4.59,10,3,80,10,High,Medium,High,Under 30
47,Male,Manager,9.07,46,7.44,3.32,10,0,15,10,High,Medium,None,30-50
20,Male,Researcher,7.05,100,6.67,5.47,9.35,1,52,9.52,High,Medium,Low,Under 30
31,Female,Manager,7.06,22,4.06,4.91,8.42,0,17,7.25,High,Low,None,30-50
47,Male,Student,8.26,74,7.14,3.8,10,3,35,10,High,Medium,High,30-50
21,Male,Student,7.02,49,6.78,4.9,7.45,2,56,7.17,High,Medium,Low,Under 30
35,Female,Designer,7.83,64,6.93,5,10,3,97,9.57,High,Medium,High,30-50
54,Other,Designer,8.8,15,4.01,5.39,8.9,1,108,8.78,High,Low,Low,50+
42,Male,Student,1.07,49,6.34,9.46,1,4,33,1,Low,Medium,High,30-50
18,Male,Manager,8.97,12,8.37,5.35,10,4,62,9.96,High,High,High,Under 30
32,Female,Manager,2.94,83,5.66,7.04,4.55,0,92,5.91,Low,Low,None,30-50
26,Female,Student,9.21,79,6.22,5.22,10,3,117,9.42,High,Medium,High,Under 30
32,Male,Manager,3.4,117,4.61,5.72,7.31,1,47,7.08,Medium,Low,Low,30-50
41,Female,Designer,5.1,79,6.25,6.16,7.23,1,52,7.1,Medium,Medium,Low,30-50
21,Male,Student,9.4,34,5.98,3.7,10,4,24,8.64,High,Low,High,Under 30
29,Female,Designer,1.99,113,8.42,7.27,2.6,4,73,1.33,Low,High,High,Under 30
54,Male,Manager,7.71,31,4.18,6.44,6.21,0,62,5.56,High,Low,None,50+
54,Female,Manager,4.53,86,8.76,5.67,8.78,0,8,8.73,Medium,High,None,50+
23,Male,Doctor,1.22,119,6.88,9.06,2,1,110,2.02,Low,Medium,Low,Under 30
56,Female,Software Engineer,9.45,24,6.65,4.91,10,0,81,8.48,High,Medium,None,50+
41,Female,Software Engineer,2.06,42,8.43,8.83,2.83,2,22,1.49,Low,High,Low,30-50
28,Male,Freelancer,7.97,27,4.96,4.03,10,3,69,9.97,High,Low,High,Under 30
30,Female,Designer,4.46,108,5.05,7.37,5.51,2,36,4.17,Medium,Low,Low,30-50
51,Male,Student,8.3,119,8.37,4.96,10,0,118,8.41,High,High,None,50+
42,Female,Software Engineer,7.75,65,8.65,3.07,10,2,21,10,High,High,Low,30-50
24,Other,Manager,6.7,66,8.19,4.17,10,0,91,10,High,High,None,Under 30
21,Female,Researcher,9.45,94,4.21,4.51,10,4,71,9.37,High,Low,High,Under 30
25,Female,Teacher,1.89,96,7.26,8.4,4.16,3,74,6.12,Low,Medium,High,Under 30
37,Female,Student,8.19,32,6.26,3.51,10,3,99,9.85,High,Medium,High,30-50
46,Male,Designer,7.04,46,8.04,6.45,6.63,1,7,7.03,High,High,Low,30-50
27,Male,Manager,3.83,117,4.79,5.47,6.09,0,8,6.24,Medium,Low,None,Under 30
51,Female,Manager,5.91,34,8.6,6.38,8.52,0,25,9.06,Medium,High,None,50+
43,Female,Teacher,6.8,99,5.68,4.73,9.94,4,46,10,High,Low,High,30-50
58,Female,Designer,7.63,63,5.62,4.37,10,4,48,9.38,High,Low,High,50+
20,Female,Freelancer,2.68,89,4.89,6.93,4.18,0,29,5.74,Low,Low,None,Under 30
23,Male,Student,1.92,11,4.03,7.93,3.37,4,43,4.37,Low,Low,High,Under 30
22,Male,Manager,1.92,119,5.56,6.44,3.05,3,34,3.07,Low,Low,High,Under 30
22,Male,Freelancer,3.64,52,4.74,6.14,5.34,3,90,5.97,Medium,Low,High,Under 30
40,Female,Doctor,2.39,43,7.69,9.33,3.74,0,61,3.85,Low,Medium,None,30-50
26,Male,Manager,5.82,45,7.78,5.83,7.26,1,115,8.31,Medium,Medium,Low,Under 30
52,Male,Doctor,4.93,10,8.14,8.33,6.15,3,37,6.45,Medium,High,High,50+
37,Female,Researcher,9.04,69,4.03,4.9,10,3,7,10,High,Low,High,30-50
59,Female,Doctor,7.46,88,5.76,5.89,9.11,0,55,8.41,High,Low,None,50+
52,Female,Student,2.85,45,4.03,7.37,4.77,3,69,4.17,Low,Low,High,50+
35,Other,Researcher,1.41,58,6.54,8.12,1.94,3,113,1,Low,Medium,High,30-50
34,Female,Student,7.38,58,8.55,5.44,10,0,37,9.1,High,High,None,30-50
41,Male,Teacher,8.61,33,6.04,3.93,10,3,17,10,High,Medium,High,30-50
20,Female,Manager,7.31,98,8.37,4.79,10,0,0,9.2,High,High,None,Under 30
49,Male,Student,6.79,20,8.74,5.97,7.35,1,7,7.23,High,High,Low,30-50
52,Female,Student,3.24,81,5.19,8.22,4.24,4,112,4.37,Medium,Low,High,50+
55,Female,Teacher,5.45,71,4.05,7.52,7.42,0,11,9.31,Medium,Low,None,50+
30,Female,Teacher,7.52,97,7.7,6.43,7.97,3,64,8.76,High,Medium,High,30-50
42,Male,Manager,2.74,51,6.9,5.99,6.06,2,59,5.32,Low,Medium,Low,30-50
26,Male,Freelancer,5.29,47,5.74,7.27,5.41,4,92,5.48,Medium,Low,High,Under 30
21,Female,Designer,2.05,77,5.84,7.36,3.37,1,98,1.97,Low,Low,Low,Under 30
31,Male,Software Engineer,5.78,18,4.4,6.13,7.43,4,16,8.56,Medium,Low,High,30-50
54,Other,Manager,6.16,83,8.36,7.06,7.24,0,69,6.91,High,High,None,50+
51,Female,Software Engineer,5.82,3,5.21,6.03,9.13,3,21,7.59,Medium,Low,High,50+
28,Female,Researcher,5.23,101,4.49,5.91,7.28,3,46,7.68,Medium,Low,High,Under 30
58,Female,Researcher,6.29,31,7.9,5.4,8.54,1,71,10,High,Medium,Low,50+
20,Female,Designer,9.97,89,6.43,1.11,10,4,99,9.31,High,Medium,High,Under 30
45,Male,Doctor,6.6,27,7.81,4.75,9.39,1,20,8.88,High,Medium,Low,30-50
46,Male,Freelancer,7.77,75,8.51,2.56,10,0,4,9.73,High,High,None,30-50
26,Female,Manager,2.73,57,5.91,7.25,3.6,4,30,3.51,Low,Low,High,Under 30
20,Female,Student,5.77,73,4.27,4.61,9.22,3,91,8.86,Medium,Low,High,Under 30
42,Female,Teacher,1.07,40,5.27,9.95,2.25,1,29,2.91,Low,Low,Low,30-50
51,Other,Manager,1.28,98,4.26,8.31,1,4,117,1.34,Low,Low,High,50+
29,Male,Teacher,3.9,32,4.75,6.6,5.93,2,76,6.53,Medium,Low,Low,Under 30
59,Male,Doctor,5.2,13,8.24,6.15,6.1,0,44,6.21,Medium,High,None,50+
26,Male,Teacher,6.18,103,8.71,4.62,10,4,40,10,High,High,High,Under 30
32,Female,Doctor,8.99,86,7.38,3.7,10,0,28,9.35,High,Medium,None,30-50
57,Male,Freelancer,7.95,81,7.66,5.9,7.88,3,96,8.4,High,Medium,High,50+
42,Male,Designer,3.7,52,7.66,6.76,5.42,2,40,5.9,Medium,Medium,Low,30-50
22,Female,Doctor,7.69,107,4.62,4.47,8.89,1,53,10,High,Low,Low,Under 30
28,Male,Researcher,5.94,75,4.24,5.23,8.85,3,9,7.3,Medium,Low,High,Under 30
51,Female,Software Engineer,8.01,41,7.49,5.88,10,1,119,9.85,High,Medium,Low,50+
41,Female,Researcher,4.7,35,4.19,7.79,6.18,0,46,6.36,Medium,Low,None,30-50
32,Male,Manager,1.83,24,8.06,9.87,2.38,3,18,4.34,Low,High,High,30-50
55,Male,Researcher,6.57,51,6.96,6.79,8.15,0,104,9.14,High,Medium,None,50+
25,Female,Researcher,6.01,100,4.57,2.91,10,0,72,9.41,High,Low,None,Under 30
22,Male,Researcher,9.58,39,7.3,3.04,10,4,63,10,High,Medium,High,Under 30
43,Male,Doctor,2.46,114,7.03,7.08,5.22,4,47,6.39,Low,Medium,High,30-50
35,Male,Manager,6.91,85,5.88,5.36,9.69,3,62,10,High,Low,High,30-50
23,Male,Designer,5.27,69,8.09,5.93,6.72,1,15,7.97,Medium,High,Low,Under 30
54,Female,Freelancer,4.41,79,5.52,7.44,6.14,1,43,6.46,Medium,Low,Low,50+
30,Male,Researcher,8.15,61,5.89,6.41,10,1,90,10,High,Low,Low,30-50
45,Female,Doctor,8.3,86,7.48,3.73,10,2,102,7.98,High,Medium,Low,30-50
22,Male,Designer,7.43,8,7.76,4.59,10,2,113,10,High,Medium,Low,Under 30
30,Female,Software Engineer,1.75,106,5.37,7.8,2.83,2,47,2.25,Low,Low,Low,30-50
34,Female,Freelancer,4.11,98,4.08,5.71,6.02,2,46,5.99,Medium,Low,Low,30-50
57,Female,Student,1.42,92,4.88,5.62,4.61,1,38,4.65,Low,Low,Low,50+
49,Female,Designer,4.09,77,5.32,6.96,5.96,0,116,4.7,Medium,Low,None,30-50
46,Male,Student,6.83,68,8.53,5.89,9.67,4,69,10,High,High,High,30-50
20,Female,Designer,5.67,20,8.47,6.13,8.51,1,111,8.32,Medium,High,Low,Under 30
57,Male,Researcher,7.33,52,7.3,5.31,9.13,4,82,10,High,Medium,High,50+
51,Male,Freelancer,5.96,69,7.55,6.19,7.05,1,30,6.08,Medium,Medium,Low,50+
57,Female,Doctor,6,0,7.11,8.47,4.82,0,82,2.93,High,Medium,None,50+
44,Male,Student,5.6,30,7.9,7.32,5.76,1,31,4.53,Medium,Medium,Low,30-50
30,Female,Freelancer,4.28,44,5.76,5.63,8.54,4,50,9.12,Medium,Low,High,30-50
50,Male,Designer,5.02,104,6.73,7.24,5.42,1,104,4.88,Medium,Medium,Low,30-50
23,Female,Manager,2.01,27,7.35,10,2.23,2,44,1.75,Low,Medium,Low,Under 30
41,Female,Designer,8.51,2,6.34,6.13,7.16,3,2,7.71,High,Medium,High,30-50
36,Female,Student,9,101,7.86,4.94,10,3,85,9.63,High,Medium,High,30-50
33,Female,Manager,7.9,115,8.66,2.92,10,1,10,9.57,High,High,Low,30-50
57,Female,Researcher,6.25,86,7.32,5.48,5.76,1,111,5.94,High,Medium,Low,50+
45,Female,Freelancer,6.12,39,4.37,7.14,5.4,1,95,5.86,High,Low,Low,30-50
50,Male,Designer,5.23,3,7.05,7.59,5.73,3,3,4.88,Medium,Medium,High,30-50
58,Female,Student,3.08,69,7.48,6.57,6.23,4,105,6.69,Medium,Medium,High,50+
30,Male,Software Engineer,4.45,75,5.42,5.52,8.17,2,52,9.17,Medium,Low,Low,30-50
42,Male,Teacher,9.91,11,5.61,5.15,10,2,75,10,High,Low,Low,30-50
59,Male,Software Engineer,2.31,61,6.98,8.58,2.25,1,92,1.72,Low,Medium,Low,50+
53,Male,Student,5.88,70,7.54,4.75,9.39,3,3,9.62,Medium,Medium,High,50+
44,Female,Doctor,8.8,91,8.36,3.54,10,4,111,10,High,High,High,30-50
55,Female,Doctor,5.08,89,7.81,8.33,6.44,3,111,5.9,Medium,Medium,High,50+
24,Female,Teacher,6.45,47,4.67,6.63,8.52,2,66,8.27,High,Low,Low,Under 30
22,Female,Student,8.45,6,5.74,5.43,10,2,22,9.27,High,Low,Low,Under 30
48,Male,Manager,5.93,56,4.74,7.08,7.01,0,73,7.81,Medium,Low,None,30-50
40,Male,Designer,7.58,55,7.78,6.03,8.92,3,55,9.43,High,Medium,High,30-50
59,Male,Software Engineer,4.13,66,5.33,7.06,4.67,3,16,5.71,Medium,Low,High,50+
27,Female,Manager,7.6,12,4.62,6.25,7.93,2,92,8.35,High,Low,Low,Under 30
49,Male,Freelancer,1.37,51,4.48,7.8,3.37,1,100,3.92,Low,Low,Low,30-50
47,Female,Software Engineer,2.38,62,4.57,8.72,1.36,3,105,1.56,Low,Low,High,30-50
56,Female,Teacher,6.74,40,5.24,5.16,10,1,11,9.83,High,Low,Low,50+
48,Female,Researcher,5.04,74,7.91,7.12,6.33,0,108,5.72,Medium,Medium,None,30-50
35,Female,Teacher,8.46,102,5.19,5.01,10,2,38,9.18,High,Low,Low,30-50
53,Female,Freelancer,4.08,22,5.41,7.03,5.38,3,81,4.57,Medium,Low,High,50+
19,Male,Teacher,7.9,46,8.4,3.6,10,1,85,8.99,High,High,Low,Under 30
31,Male,Researcher,2.25,64,6.21,8.52,2.32,3,82,1.3,Low,Medium,High,30-50
30,Female,Freelancer,9.37,97,6.54,4.48,10,2,80,10,High,Medium,Low,30-50
46,Female,Manager,4.77,30,4.01,7.55,5.53,0,41,6.52,Medium,Low,None,30-50
29,Female,Manager,3.08,96,4.41,5.4,7.3,0,48,6.66,Medium,Low,None,Under 30
56,Male,Teacher,8.1,110,7.7,4.42,10,4,105,9.57,High,Medium,High,50+
19,Female,Manager,9.53,99,5.67,5.35,10,2,4,8.32,High,Low,Low,Under 30
49,Male,Teacher,9.26,35,4.75,6.43,8.78,3,14,8.09,High,Low,High,30-50
30,Male,Researcher,3.14,13,6.14,9.47,1.07,0,62,2.12,Medium,Medium,None,30-50
44,Male,Manager,7.05,36,4.23,6.46,9.17,3,104,8.82,High,Low,High,30-50
58,Male,Teacher,5.92,31,7.55,7.03,8.45,2,25,8.96,Medium,Medium,Low,50+
34,Male,Designer,7.53,52,4.4,4.87,10,2,103,9.41,High,Low,Low,30-50
57,Male,Researcher,5.38,27,4.27,8.53,3.55,1,23,3.17,Medium,Low,Low,50+
48,Female,Designer,5.23,64,6.1,6.51,6.76,1,42,7.39,Medium,Medium,Low,30-50
51,Female,Freelancer,8.94,46,6.94,5.93,9.34,2,83,9.61,High,Medium,Low,50+
41,Female,Software Engineer,8.84,70,7.82,4.12,10,1,115,8.79,High,Medium,Low,30-50
52,Male,Freelancer,8.09,79,4.35,5.25,8.97,0,84,8.75,High,Low,None,50+
23,Other,Software Engineer,7.34,117,5.67,4.27,10,1,98,8.46,High,Low,Low,Under 30
36,Male,Freelancer,7.11,31,5.34,4.41,10,1,90,10,High,Low,Low,30-50
47,Male,Teacher,1.51,23,7.72,8.11,3.57,0,35,3.69,Low,Medium,None,30-50
24,Female,Software Engineer,7.75,13,5.85,5.51,10,4,73,8.44,High,Low,High,Under 30
27,Male,Manager,6.74,46,7.14,7.39,6.89,0,100,8.13,High,Medium,None,Under 30
58,Female,Teacher,3.72,78,6.45,5.73,5.29,3,110,4.48,Medium,Medium,High,50+
49,Female,Designer,8.38,115,6.85,2.91,10,3,97,10,High,Medium,High,30-50
51,Other,Doctor,8.49,0,5.83,5.03,10,0,107,10,High,Low,None,50+
45,Female,Designer,9.39,91,5.2,5.01,10,1,25,10,High,Low,Low,30-50
32,Female,Student,4.77,18,4.3,7.17,4.75,0,63,5.8,Medium,Low,None,30-50
47,Male,Designer,5.96,57,4.87,5.95,9.43,1,10,9.61,Medium,Low,Low,30-50
54,Female,Student,9.15,6,4.86,6.14,9.76,1,116,9.95,High,Low,Low,50+
46,Male,Software Engineer,3.85,81,8.67,8.39,3.19,3,19,2.6,Medium,High,High,30-50
39,Female,Designer,8.17,110,8.69,6.05,8.2,3,51,6.51,High,High,High,30-50
21,Female,Doctor,9.93,76,5.28,5.32,10,4,32,9.62,High,Low,High,Under 30
37,Male,Manager,6.87,114,4.53,4.48,9.77,3,115,8.93,High,Low,High,30-50
